Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
EEE029	261	182	79	17	803	377882	2.303797	0.215190	2149189	1825679
FFF044	818	633	185	25	9292	425054	3.421622	0.135135	2128990	1766742
FFF038	5	0	5	0	0	430376	0.000000	0.000000	2071779	1684656
FA1090	3126	1535	1591	98	54826	285074	0.964802	0.061596	2040325	1819549
GCGS1013	1247	997	250	52	29660	419869	3.988000	0.208000	2109102	1803912
GCGS1095	108	69	39	6	8523	438210	1.769231	0.153846	2107032	1693481
CCC013	18	15	3	3	0	587206	5.000000	1.000000	2088044	1538144
UMASS-DGI_5	84	25	59	4	509	389899	0.423729	0.067797	2081685	1726381
EEE013	59	38	21	4	0	616281	1.809524	0.190476	2154860	1568147
Ng_118	139	100	39	7	0	525784	2.564103	0.179487	2067987	1588958
GCGS0431	381	301	80	20	9909	415977	3.762500	0.250000	2108663	1746427
AUNG1251	585	522	63	31	29403	451592	8.285714	0.492063	2087026	1722393
CCC033	356	312	44	19	6065	606305	7.090909	0.431818	2081771	1535294
UMASS-DGI_36	46	7	39	2	0	321556	0.179487	0.051282	2121171	1814949
FFF026	200	189	11	7	0	417348	17.181818	0.636364	2110631	1748494
GGG031	1255	1003	252	61	29185	465385	3.980159	0.242063	2133253	1770038
CCC010	605	502	103	28	9041	543263	4.873786	0.271845	2073957	1615437
UMASS-DGI_40	158	121	37	4	342	335650	3.270270	0.108108	2128108	1823560
GCGS0834	627	592	35	15	10494	476065	16.914286	0.428571	2164043	1715983
GGG022	1295	1053	242	55	36872	412100	4.351240	0.227273	2092855	1818147
GCGS0276	93	72	21	6	137	453563	3.428571	0.285714	2114883	1686545
Ng_188	1402	1130	272	56	26949	404769	4.154412	0.205882	2124427	1836800
FFF004	917	779	138	41	21872	374896	5.644928	0.297101	2077471	1797943
UMASS-DGI_26	1	0	1	0	0	191659	0.000000	0.000000	2117074	1939752
AUNG1065	150	116	34	3	342	346389	3.411765	0.088235	2116674	1784957
DDD038	25	20	5	3	1273	342193	4.000000	0.600000	2086197	1761198
UMASS-DGI_46	3463	1697	1766	110	108505	126257	0.960929	0.062288	2127526	2071795
EEE014	1426	1262	164	49	34309	515163	7.695122	0.298781	2098794	1771373
UMASS-DGI_54	105	24	81	3	342	387161	0.296296	0.037037	2081106	1725090
EEE035	1446	980	466	60	41588	379346	2.103004	0.128755	2152734	1840323
GCGS0457	1295	1042	253	50	39190	484443	4.118577	0.197628	2149773	1784768
EEE018	211	160	51	10	4767	453432	3.137255	0.196078	2146394	1740221
SRR5827322	2403	1088	1315	64	87900	215904	0.827376	0.048669	2103237	1945159
HHH030	564	482	82	22	11694	595588	5.878049	0.268293	2147589	1646987
CCC028	395	350	45	17	8008	483490	7.777778	0.377778	2099888	1649146
FA19	2255	1430	825	68	16348	347222	1.733333	0.082424	2038495	1785908
CCC017	15	8	7	1	0	407839	1.142857	0.142857	2091172	1705767
FFF007	2263	1464	799	65	84214	315380	1.832290	0.081352	2130816	1881648
FFF005	601	493	108	23	19369	337428	4.564815	0.212963	2072657	1799602
DDD001	377	334	43	15	10570	409681	7.767442	0.348837	2087150	1721224
EEE023	394	318	76	14	4767	427958	4.184210	0.184211	2151636	1755714
HHH042	3394	1500	1894	89	98092	170905	0.791975	0.046990	2117951	2010652
EEE021	665	542	123	27	22337	486394	4.406504	0.219512	2102246	1715889
EEE026	42	34	8	4	0	392586	4.250000	0.500000	2149509	1782511
EEE030	382	341	41	13	4767	480003	8.317073	0.317073	2132267	1727834
GCGS0339	1278	1051	227	43	30377	368009	4.629956	0.189427	2102597	1855613
FFF047	899	720	179	37	21396	320901	4.022346	0.206704	2120600	1933702
SRR5827236	1857	1168	689	54	53323	368176	1.695210	0.078374	2063492	1846670
96MB	656	575	81	26	26752	453037	7.098765	0.320988	2080214	1737106
AUNG1291	1409	1139	270	61	58319	536063	4.218519	0.225926	2149722	1744462
GCGS1014	155	120	35	9	12752	445885	3.428571	0.257143	2103918	1688736
FFF017	1021	768	253	38	33766	365658	3.035573	0.150198	2131180	1843644
UMASS-DGI_9	1955	1630	325	71	34195	416674	5.015385	0.218462	2057615	1779909
CCC015	340	324	16	7	4451	419498	20.250000	0.437500	2096048	1712720
EEE016	107	74	33	5	0	558625	2.242424	0.151515	2167608	1635162
CCC012	949	841	108	42	16531	518234	7.787037	0.388889	2140105	1719247
EEE019	382	257	125	21	7768	461291	2.056000	0.168000	2084079	1662619
GCGS0245	799	559	240	28	15768	296163	2.329167	0.116667	2074646	1849172
GCGS0373	2786	1836	950	84	70539	260437	1.932632	0.088421	2159253	1979963
DDD046	3617	1634	1983	106	105699	148446	0.824004	0.053454	2118456	2026114
HHH023	574	473	101	24	13805	471432	4.683168	0.237624	2138345	1715560
GCGS0306	2068	1624	444	75	44991	441512	3.657658	0.168919	2099678	1759102
GCGS0769	1168	993	175	48	13167	539747	5.674286	0.274286	2135972	1698293
DDD029	2	0	2	0	0	341784	0.000000	0.000000	2080266	1755834
UMASS-DGI_65	17	4	13	1	0	191659	0.307692	0.076923	2129940	1952676
DDD034	23	15	8	2	0	349468	1.875000	0.250000	2076961	1752830
EEE020	1802	1235	567	62	41588	396516	2.178131	0.109347	2151011	1835039
CCC016	534	453	81	22	1558	491264	5.592593	0.271605	2135627	1716457
EEE037	80	49	31	8	462	411109	1.580645	0.258065	2149536	1750846
FA6140	791	680	111	31	28030	503569	6.126126	0.279279	2056652	1673648
GCGS0313	888	742	146	33	26217	465282	5.082192	0.226027	2133588	1786182
DDD031	257	228	29	13	6065	570197	7.862069	0.448276	2075614	1556679
UMASS-DGI_1	1813	1201	612	56	16010	354473	1.962418	0.091503	2148538	1878811
EEE015	192	143	49	13	7742	315675	2.918367	0.265306	2089662	1808509
FFF012	1853	1115	738	66	59531	264175	1.510840	0.089431	2057636	1866112
GCGS0423	1483	920	563	51	73573	226214	1.634103	0.090586	2097513	1965130
GCGS0864	244	206	38	7	1689	469776	5.421052	0.184211	2168053	1722436
25818_3_234	2130	1444	686	71	31639	510135	2.104956	0.103499	2085021	1656662
CCC048	972	811	161	45	30838	621403	5.037267	0.279503	2094302	1586304
FFF024	334	263	71	9	5433	392947	3.704225	0.126761	2129421	1770976
CCC020	1371	1033	338	53	29242	543168	3.056213	0.156805	2147463	1707733
JJJ025	1323	894	429	52	32921	504481	2.083916	0.121212	2131384	1696003
EEE004	158	135	23	7	729	388281	5.869565	0.304348	2122032	1759293
EEE034	2518	1460	1058	86	56312	284824	1.379962	0.081285	2133262	1916784
JJJ010	1443	1055	388	54	38091	422287	2.719072	0.139175	2127582	1809404
JJJ020	2831	1549	1282	90	74284	240744	1.208268	0.070203	2088997	1914386
CCC014	29	26	3	5	92	409776	8.666667	1.666667	2083840	1699549
H035	281	261	20	12	8008	366497	13.050000	0.600000	2106689	1772449
10588	24	11	13	2	0	356793	0.846154	0.153846	2127273	1788576
10819	14	7	7	2	0	363490	1.000000	0.285714	2128011	1782994
SRRSH240	1	0	1	0	0	397372	0.000000	0.000000	2141211	1762060
AUSMDU00010541	209	157	52	11	5600	497099	3.019231	0.211538	2108183	1651221
SE690	829	699	130	24	2264	592031	5.376923	0.184615	2087819	1589015
NG251	97	71	26	5	0	402610	2.730769	0.192308	2151365	1766380
10702	34	25	9	2	0	345659	2.777778	0.222222	2130645	1801330
SS3160	367	346	21	16	1020	419489	16.476191	0.761905	2133589	1768789
ATCC49226	21	11	10	1	5222	360494	1.100000	0.100000	2071307	1738953
NG250	1232	939	293	43	23941	370280	3.204778	0.146758	2087376	1798998
SRRSH229	1	0	1	0	0	406175	0.000000	0.000000	2136238	1749198
10296	1361	1103	258	44	45809	515679	4.275194	0.170543	2175546	1745052
10574	6	0	6	0	0	345491	0.000000	0.000000	2126567	1794657
9399	10	6	4	2	0	348024	1.500000	0.500000	2125793	1793958
10727	246	104	142	12	691	356408	0.732394	0.084507	2105998	1779182
FQ01	120	63	57	10	8178	272286	1.105263	0.175439	2140922	1886949
10239	644	549	95	15	1390	358097	5.778947	0.157895	2127276	1814281
10791	10	9	1	2	0	358463	9.000000	2.000000	2120202	1779473
FQ04	318	300	18	6	5142	400676	16.666666	0.333333	2146145	1771522
AT159	82	64	18	10	5597	541424	3.555556	0.555556	2154381	1636406
FQ02	98	65	33	8	462	476112	1.969697	0.242424	2156446	1694284
10562	28	10	18	3	342	345574	0.555556	0.166667	2130753	1799479
FDAARGOS_204	2042	1428	614	69	51524	282727	2.325733	0.112378	2120469	1948050
20181204	198	159	39	10	2545	508513	4.076923	0.256410	2084730	1612122
10638	25	14	11	1	0	356793	1.272727	0.090909	2120018	1781144
FDAARGOS_205	5	4	1	1	0	403400	4.000000	1.000000	2154826	1767084
1145734	408	337	71	22	18117	334193	4.746479	0.309859	2102988	1836689
10814	10	3	7	1	0	356793	0.428571	0.142857	2122812	1782564
10708	201	119	82	10	686	335329	1.451220	0.121951	2128365	1816077
9035	367	318	49	17	25959	556339	6.489796	0.346939	2186287	1693053
TFG-B2	141	95	46	7	892	457048	2.065217	0.152174	2157536	1718906
FQ36	814	743	71	24	7969	489671	10.464788	0.338028	2149178	1711758
RIVM0610	28	21	7	2	0	467550	3.000000	0.285714	2179740	1731855
10792	69	28	41	2	0	356431	0.682927	0.048780	2119111	1779046
10272	21	4	17	1	0	348004	0.235294	0.058824	2130141	1798198
9460	32	24	8	4	535	341585	3.000000	0.500000	2127931	1806203
10537	39	33	6	5	92	521844	5.500000	0.833333	2186520	1675413
9071	395	274	121	14	1335	373172	2.264463	0.115702	2136753	1803697
10723	79	39	40	7	627	347501	0.975000	0.175000	2109227	1779983
10500	13	3	10	1	0	343618	0.300000	0.100000	2129665	1800272
SRRSH214	3	0	3	0	0	406133	0.000000	0.000000	2136038	1750633
10610	294	218	76	13	691	358408	2.868421	0.171053	2136668	1807320
FQ82	38	32	6	3	0	395667	5.333333	0.500000	2143240	1767984
10328	15	6	9	1	0	356793	0.666667	0.111111	2123862	1783736
CT213	496	401	95	24	14804	443450	4.221053	0.252632	2088275	1723138
TFG-A2	110	75	35	8	1165	456380	2.142857	0.228571	2150791	1713833
10268	11	0	11	0	0	345491	0.000000	0.000000	2120053	1790134
10743	11	8	3	2	0	363301	2.666667	0.666667	2128168	1782399
9126	198	88	110	14	1335	345318	0.800000	0.127273	2129779	1801603
TUM16691	268	231	37	17	8008	355717	6.243243	0.459459	2102475	1780801
1081168	380	328	52	15	10494	483296	6.307693	0.288462	2174995	1723565
SRRSH204	3	0	3	0	0	406133	0.000000	0.000000	2139505	1752985
