,strain_A,strain_B,opa_distance,strain_A_num_opa,strain_B_num_opa,num_opa_difference,genome_distance,pseudogenome_distance
0,10231,10239,2.358166189111748,9,10,1,7991.173035000001,6905.0
1,10231,10268,0.24928366762177634,9,9,0,228.815683,375.0
2,10231,10272,2.335243553008596,9,7,2,289.50124,445.0
3,10231,10296,3.140401146131805,9,11,2,8078.700471,6595.0
4,10231,10328,1.3782234957020056,9,8,1,157.60091799999998,317.0
5,10231,10500,1.507163323782235,9,10,1,300.160121,440.0
6,10231,10524,0.5558739255014327,9,9,0,251.144855,434.0
7,10231,10529,1.1719197707736388,9,8,1,295.44012299999997,418.0
8,10231,10531,1.32378223495702,9,10,1,254.85341699999998,463.0
9,10231,10536,3.2865329512893986,9,11,2,7886.788871000001,6732.0
10,10231,10537,2.3094555873925504,9,10,1,7874.210881,6696.0
11,10231,10538,3.2292263610315186,9,11,2,7882.613497,6728.0
12,10231,10562,0.11174785100286522,9,9,0,230.423591,414.0
13,10231,10574,1.2378223495702003,9,10,1,223.602949,406.0
14,10231,10588,0.504297994269341,9,9,0,161.024206,325.0
15,10231,10610,0.4756446991404011,9,9,0,301.30121099999997,515.0
16,10231,10638,0.42979942693409734,9,9,0,161.465084,315.0
17,10231,10702,1.3753581661891117,9,10,1,303.99835299999995,449.0
18,10231,10708,3.392550143266476,9,11,2,7979.891746,7183.0
19,10231,10723,1.2951289398280803,9,10,1,270.802825,450.0
20,10231,10727,1.4641833810888252,9,10,1,290.979483,483.0
21,10231,10736,2.36676217765043,9,10,1,7975.742305000001,7176.0
22,10231,10743,1.3896848137535818,9,9,0,7967.9621050000005,7106.0
23,10231,10744,3.0888252148997135,9,7,2,7973.926925000001,7114.0
24,10231,10771,0.49283667621776517,9,9,0,259.02878999999996,431.0
25,10231,10791,2.214899713467049,9,7,2,171.164399,317.0
26,10231,10792,0.5386819484240687,9,9,0,155.059387,302.0
27,10231,10794,1.3123209169054442,9,8,1,162.08749999999998,343.0
28,10231,10795,1.3065902578796562,9,8,1,169.789897,361.0
29,10231,1081168,2.524355300859599,9,10,1,7783.830903,7346.0
30,10231,10814,0.4068767908309455,9,9,0,163.20266199999998,307.0
31,10231,10819,3.9369627507163325,9,6,3,7972.811763000001,7098.0
32,10231,1123850,3.464183381088825,9,11,2,7865.8859840000005,6638.0
33,10231,1130991,3.5787965616045847,9,11,2,7785.594411,7321.0
34,10231,1145734,3.5157593123209168,9,11,2,7627.189490000001,6768.0
35,10231,2004S05-027,2.3438395415472777,9,10,1,7880.201597,6716.0
36,10231,2010C02-038,3.114613180515759,9,11,2,8401.552822,6843.0
37,10231,2014E02-242,2.489971346704871,9,10,1,8727.231998,6745.0
38,10231,2016E02-233,3.4383954154727796,9,11,2,7864.589352,6916.0
39,10231,20181204,2.0859598853868198,9,10,1,8861.647946000001,6752.0
40,10231,2018C07-301,2.4756446991404015,9,10,1,8201.083013,7138.0
41,10231,2018S05-288,2.489971346704871,9,10,1,7913.734232000001,6625.0
42,10231,2020C08-294,1.6361031518624642,9,9,0,8160.833374,6995.0
43,10231,2020N07-265,3.4068767908309456,9,11,2,7998.460609,6731.0
44,10231,2020N08-318,2.432664756446991,9,10,1,8221.467133,6862.0
45,10231,2020S05-258,3.232091690544413,9,11,2,8310.031688,6865.0
46,10231,2022NG-0032,3.5243553008595985,9,11,2,8160.185131,6854.0
47,10231,2022NG-0076,1.300859598853868,9,9,0,8155.672558,7869.0
48,10231,25818_3#234,3.2406876790830945,9,11,2,9268.241179,6542.0
49,10231,9035,3.01432664756447,9,11,2,7881.913278,6310.0
50,10231,9071,0.5702005730659025,9,9,0,286.674423,497.0
51,10231,9112,2.4785100286532953,9,10,1,7851.440827,7061.0
52,10231,9126,0.45558739255014324,9,9,0,293.780346,455.0
53,10231,9343,0.2578796561604585,9,9,0,222.09877699999998,413.0
54,10231,9399,0.38968481375358155,9,9,0,276.197097,469.0
55,10231,9431,2.3323782234957022,9,8,1,7966.795076,7073.0
56,10231,9460,2.469914040114613,9,10,1,7963.138381000001,7111.0
57,10231,9464,2.4785100286532953,9,10,1,7959.170480000001,7150.0
58,10231,96MB,2.160458452722063,9,8,1,7928.827816,6630.0
59,10231,AT159,1.2263610315186249,9,9,0,8393.435451000001,6912.0
60,10231,ATCC49226,2.481375358166189,9,10,1,8681.095396,6879.0
61,10231,AUNG1065,3.2177650429799427,9,11,2,3897.4913070000002,5434.0
62,10231,AUNG1251,2.8022922636103154,9,10,1,7942.028223,6617.0
63,10231,AUNG1291,3.404011461318052,9,11,2,7955.228707,6894.0
64,10231,AUSMDU00010541,2.1489971346704873,9,10,1,8181.347172,6752.0
65,10231,BJ16148,3.194842406876791,9,11,2,7732.196211,6929.0
66,10231,CCC010,3.346704871060172,9,11,2,8631.717083,6516.0
67,10231,CCC012,3.5787965616045847,9,11,2,8548.780150999999,6664.0
68,10231,CCC013,3.3553008595988536,9,11,2,8775.417365000001,6702.0
69,10231,CCC014,2.5243553008595994,9,10,1,7888.4745139999995,6595.0
70,10231,CCC015,2.3467048710601723,9,10,1,7896.280648,6631.0
71,10231,CCC016,3.4097421203438394,9,11,2,8482.026038,6635.0
72,10231,CCC017,3.495702005730659,9,11,2,7888.422646,6527.0
73,10231,CCC020,3.3094555873925504,9,11,2,9045.520025,6961.0
74,10231,CCC028,3.495702005730659,9,11,2,8082.823948,7609.0
75,10231,CCC033,3.418338108882521,9,11,2,8820.931537,6666.0
76,10231,CCC048,3.418338108882521,9,11,2,8430.028317,6698.0
77,10231,CT213,3.3810888252148996,9,11,2,8404.950176,6586.0
78,10231,CT530,2.32378223495702,9,10,1,8774.25034,6736.0
