,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,id,n_terminus,in_frame,strain,species,query_accession,percent_identity,alignment_length,mismatches,gaps,query_start,query_end,subject_start,subject_end,evalue,bit_score,approx_start,approx_stop
0,NC_014752.1,1,1471157.0,1471188.0,1471866.0,1471884.0,1471131.0,1471883.0,020-06_opa_1,1471202.0,0.0,020-06,Neisseria lactamica,FA1090_opa_1/122-263,91.667,120.0,10.0,0.0,23.0,142.0,1471307.0,1471426.0,2.2399999999999997e-40,167.0,1471147.0,1471880.0
1,NC_014752.1,1,1906611.0,1906671.0,1907331.0,1907349.0,1906589.0,1907348.0,020-06_opa_2,1906685.0,1.0,020-06,Neisseria lactamica,,,,,,,,,,,,,
2,NZ_CP021522.1,-1,547668.0,547718.0,546945.0,546963.0,546946.0,547743.0,06-178_opa_1,547654.0,0.0,06-178,Neisseria meningitidis,FA1090_opa_1/122-263,92.806,139.0,10.0,0.0,1.0,139.0,547548.0,547410.0,6.13e-51,202.0,547708.0,546956.0
3,NZ_CP021522.1,-1,1075763.0,1075828.0,1075031.0,1075049.0,1075032.0,1075853.0,06-178_opa_2,1075749.0,0.0,06-178,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1075637.0,1075496.0,1.31e-57,224.0,1075797.0,1075042.0
4,NZ_CP021522.1,1,1246324.0,1246369.0,1247095.0,1247113.0,1246299.0,1247112.0,06-178_opa_3,1246383.0,1.0,06-178,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1246496.0,1246637.0,1.31e-57,224.0,1246336.0,1247091.0
5,NZ_CP021522.1,1,1416466.0,1416516.0,1417227.0,1417245.0,1416441.0,1417244.0,06-178_opa_4,1416530.0,0.0,06-178,Neisseria meningitidis,,,,,,,,,,,,,
6,NZ_CP021521.1,-1,566240.0,566285.0,565502.0,565520.0,565503.0,566310.0,09-292_opa_1,566226.0,1.0,09-292,Neisseria meningitidis,FA1090_opa_1/122-263,94.326,141.0,8.0,0.0,2.0,142.0,566119.0,565979.0,2.19e-55,217.0,566279.0,565525.0
7,NZ_CP021521.1,-1,1102221.0,1102261.0,1101483.0,1101501.0,1101484.0,1102286.0,09-292_opa_2,1102207.0,0.0,09-292,Neisseria meningitidis,FA1090_opa_1/122-263,94.326,141.0,8.0,0.0,2.0,142.0,1102100.0,1101960.0,2.19e-55,217.0,1102260.0,1101506.0
8,NZ_CP021521.1,1,1275020.0,1275070.0,1275796.0,1275814.0,1274996.0,1275813.0,09-292_opa_3,1275084.0,0.0,09-292,Neisseria meningitidis,FA1090_opa_1/122-263,92.908,141.0,10.0,0.0,2.0,142.0,1275192.0,1275332.0,4.7399999999999995e-52,206.0,1275032.0,1275786.0
9,NZ_CP021521.1,1,1444399.0,1444634.0,1445360.0,1445378.0,1444374.0,1445377.0,09-292_opa_4,1444648.0,0.0,09-292,Neisseria meningitidis,FA1090_opa_1/122-263,92.908,141.0,10.0,0.0,2.0,142.0,1444756.0,1444896.0,4.7399999999999995e-52,206.0,1444596.0,1445350.0
10,NZ_CP021519.1,-1,547708.0,547748.0,546985.0,547003.0,546986.0,547773.0,11-14_opa_1,547694.0,0.0,11-14,Neisseria meningitidis,FA1090_opa_1/122-263,92.806,139.0,10.0,0.0,1.0,139.0,547588.0,547450.0,6.13e-51,202.0,547748.0,546996.0
11,NZ_CP021519.1,-1,1075849.0,1075899.0,1075117.0,1075135.0,1075118.0,1075924.0,11-14_opa_2,1075835.0,0.0,11-14,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1075723.0,1075582.0,1.31e-57,224.0,1075883.0,1075128.0
12,NZ_CP021519.1,1,1247722.0,1247767.0,1248493.0,1248511.0,1247697.0,1248510.0,11-14_opa_3,1247781.0,1.0,11-14,Neisseria meningitidis,FA1090_opa_1/122-263,95.07,142.0,7.0,0.0,1.0,142.0,1247894.0,1248035.0,1.31e-57,224.0,1247734.0,1248489.0
13,NZ_CP021519.1,1,1417855.0,1417930.0,1418641.0,1418659.0,1417830.0,1418658.0,11-14_opa_4,1417944.0,1.0,11-14,Neisseria meningitidis,,,,,,,,,,,,,
