,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,id,n_terminus,in_frame,strain,species,query_accession,percent_identity,alignment_length,mismatches,gaps,query_start,query_end,subject_start,subject_end,evalue,bit_score,approx_start,approx_stop
0,NC_014752.1,1,1471157.0,1471188.0,1471866.0,1471884.0,1471131.0,1471883.0,020-06_opa_1,1471202.0,0.0,020-06,Neisseria lactamica,FA1090_opa_1/598-732,90.299,134.0,13.0,0.0,2.0,135.0,1471750.0,1471883.0,3.4900000000000003e-43,176.0,1471110.0,1471883.0
1,NC_014752.1,1,1906611.0,1906671.0,1907331.0,1907349.0,1906589.0,1907348.0,020-06_opa_2,1906685.0,1.0,020-06,Neisseria lactamica,FA1090_opa_1/598-732,91.045,134.0,12.0,0.0,2.0,135.0,1907215.0,1907348.0,7.51e-45,182.0,1906575.0,1907348.0
2,NZ_CP021522.1,-1,547668.0,547718.0,546945.0,546963.0,546946.0,547743.0,06-178_opa_1,547654.0,0.0,06-178,Neisseria meningitidis,FA1090_opa_1/598-732,89.216,102.0,11.0,0.0,34.0,135.0,547048.0,546947.0,9.920000000000001e-29,128.0,547688.0,546947.0
3,NZ_CP021522.1,-1,1075763.0,1075828.0,1075031.0,1075049.0,1075032.0,1075853.0,06-178_opa_2,1075749.0,0.0,06-178,Neisseria meningitidis,FA1090_opa_1/598-732,89.216,102.0,11.0,0.0,34.0,135.0,1075134.0,1075033.0,9.920000000000001e-29,128.0,1075774.0,1075033.0
4,NZ_CP021522.1,1,1246324.0,1246369.0,1247095.0,1247113.0,1246299.0,1247112.0,06-178_opa_3,1246383.0,1.0,06-178,Neisseria meningitidis,FA1090_opa_1/598-732,86.325,117.0,16.0,0.0,19.0,135.0,1246996.0,1247112.0,9.920000000000001e-29,128.0,1246356.0,1247112.0
5,NZ_CP021522.1,1,1416466.0,1416516.0,1417227.0,1417245.0,1416441.0,1417244.0,06-178_opa_4,1416530.0,0.0,06-178,Neisseria meningitidis,FA1090_opa_1/598-732,88.034,117.0,14.0,0.0,19.0,135.0,1417128.0,1417244.0,4.5800000000000004e-32,139.0,1416488.0,1417244.0
6,NZ_CP021521.1,-1,566240.0,566285.0,565502.0,565520.0,565503.0,566310.0,09-292_opa_1,566226.0,1.0,09-292,Neisseria meningitidis,FA1090_opa_1/598-732,92.157,102.0,8.0,0.0,34.0,135.0,565605.0,565504.0,9.85e-34,145.0,566245.0,565504.0
7,NZ_CP021521.1,-1,1102221.0,1102261.0,1101483.0,1101501.0,1101484.0,1102286.0,09-292_opa_2,1102207.0,0.0,09-292,Neisseria meningitidis,FA1090_opa_1/598-732,93.137,102.0,7.0,0.0,34.0,135.0,1101586.0,1101485.0,2.1200000000000002e-35,150.0,1102226.0,1101485.0
8,NZ_CP021521.1,1,1275020.0,1275070.0,1275796.0,1275814.0,1274996.0,1275813.0,09-292_opa_3,1275084.0,0.0,09-292,Neisseria meningitidis,FA1090_opa_1/598-732,88.034,117.0,14.0,0.0,19.0,135.0,1275697.0,1275813.0,4.5800000000000004e-32,139.0,1275057.0,1275813.0
9,NZ_CP021521.1,1,1444399.0,1444634.0,1445360.0,1445378.0,1444374.0,1445377.0,09-292_opa_4,1444648.0,0.0,09-292,Neisseria meningitidis,FA1090_opa_1/598-732,88.034,117.0,14.0,0.0,19.0,135.0,1445261.0,1445377.0,4.5800000000000004e-32,139.0,1444621.0,1445377.0
10,NZ_CP021519.1,-1,547708.0,547748.0,546985.0,547003.0,546986.0,547773.0,11-14_opa_1,547694.0,0.0,11-14,Neisseria meningitidis,FA1090_opa_1/598-732,89.216,102.0,11.0,0.0,34.0,135.0,547088.0,546987.0,9.920000000000001e-29,128.0,547728.0,546987.0
11,NZ_CP021519.1,-1,1075849.0,1075899.0,1075117.0,1075135.0,1075118.0,1075924.0,11-14_opa_2,1075835.0,0.0,11-14,Neisseria meningitidis,FA1090_opa_1/598-732,89.216,102.0,11.0,0.0,34.0,135.0,1075220.0,1075119.0,9.920000000000001e-29,128.0,1075860.0,1075119.0
12,NZ_CP021519.1,1,1247722.0,1247767.0,1248493.0,1248511.0,1247697.0,1248510.0,11-14_opa_3,1247781.0,1.0,11-14,Neisseria meningitidis,FA1090_opa_1/598-732,86.325,117.0,16.0,0.0,19.0,135.0,1248394.0,1248510.0,9.920000000000001e-29,128.0,1247754.0,1248510.0
13,NZ_CP021519.1,1,1417855.0,1417930.0,1418641.0,1418659.0,1417830.0,1418658.0,11-14_opa_4,1417944.0,1.0,11-14,Neisseria meningitidis,FA1090_opa_1/598-732,88.034,117.0,14.0,0.0,19.0,135.0,1418542.0,1418658.0,4.5800000000000004e-32,139.0,1417902.0,1418658.0
14,NZ_CP030826.1,-1,572413.0,572443.0,571681.0,571699.0,571682.0,572467.0,11-251_opa_1,572399.0,0.0,11-251,Neisseria meningitidis,FA1090_opa_1/598-732,90.196,102.0,10.0,0.0,34.0,135.0,571784.0,571683.0,2.13e-30,134.0,572424.0,571683.0
15,NZ_CP030826.1,-1,1094311.0,1094386.0,1093588.0,1093606.0,1093589.0,1094411.0,11-251_opa_2,1094297.0,1.0,11-251,Neisseria meningitidis,FA1090_opa_1/598-732,91.176,102.0,9.0,0.0,34.0,135.0,1093691.0,1093590.0,4.5800000000000004e-32,139.0,1094331.0,1093590.0
16,NZ_CP030826.1,1,1266657.0,1266707.0,1267415.0,1267433.0,1266632.0,1267432.0,11-251_opa_3,1266721.0,0.0,11-251,Neisseria meningitidis,FA1090_opa_1/598-732,87.179,117.0,15.0,0.0,19.0,135.0,1267316.0,1267432.0,2.13e-30,134.0,1266676.0,1267432.0
17,NZ_CP030826.1,1,1438908.0,1438943.0,1439666.0,1439684.0,1438884.0,1439683.0,11-251_opa_4,1438957.0,0.0,11-251,Neisseria meningitidis,FA1090_opa_1/598-732,87.179,117.0,15.0,0.0,19.0,135.0,1439567.0,1439683.0,2.13e-30,134.0,1438927.0,1439683.0
