GCF_025169565.2	318
GCF_025790205.1	290
GCF_025170685.2	665
GCF_025169515.2	574
GCF_025171275.1	279
GCF_025170325.2	470
GCF_020882925.2	124
GCF_020904995.2	160
GCF_025169685.2	250
GCF_025642435.1	98
GCF_025170705.2	589
GCF_025170725.2	448
GCF_025562675.2	651
GCF_025642455.1	133
GCF_021193625.2	208
GCF_025790185.1	194
GCF_020904955.2	183
GCF_020904985.2	231
GCF_020906835.2	243
GCF_025642415.1	172
GCF_025641865.1	241
GCF_020905095.2	148
GCF_025642395.1	115
GCF_025642375.1	171
GCF_025642335.1	167
GCF_025171075.1	295
GCF_020906775.2	88
GCF_025170505.2	117
GCF_020906765.2	165
GCF_020905105.2	112
GCF_025790925.1	374.895
GCF_025169475.1	303
GCF_025642355.1	127
GCF_025790945.1	521.971
GCF_025790965.1	494.92
GCF_025791005.1	452.028
GCF_016775785.1	400
GCF_025562635.2	524
GCF_025169825.2	363
GCF_025169605.2	563
GCF_025171295.2	337
GCF_025171315.2	347
GCF_025169495.2	287
GCF_025642475.1	111
GCF_025169585.1	306
GCF_025169745.2	327
GCF_023822665.1	222
GCF_025171215.2	116
GCF_009650075.1	789
GCF_014700555.1	200
GCF_019380275.1	1566.4
GCF_023611785.1	925.321
GCF_023611765.1	882.62
GCF_023611705.1	1302.71
GCF_002073535.2	915.323
GCF_002073615.2	680.15
GCF_002073655.2	993.118
GCF_003855435.1	681.459
GCF_003855375.1	775.474
GCF_003855235.1	685.747
GCF_003855355.1	694.073
GCF_003855295.1	647.158
GCF_003855195.1	654.484
GCF_003855215.1	648.767
GCF_003855415.1	1005.13
GCF_003855175.1	164.979
GCF_025758415.1	235
GCF_011058675.1	5
GCF_018798905.1	5
GCF_011058655.1	5
GCF_011058635.1	5
GCF_003571445.1	
GCF_003571465.1	
GCF_028483175.2	90
GCF_016802445.1	
GCF_016802425.1	100
GCF_016802405.1	
GCF_016802385.1	
GCF_016802355.1	
GCF_016802335.1	
GCF_016802315.1	
GCF_008065015.2	483
GCF_004332535.2	244
GCF_004332555.2	495
GCF_013030095.1	50
GCF_013030135.1	56
GCF_029378435.1	188
GCF_029378455.1	214
GCF_033798605.1	100
GCF_033798625.1	516
GCF_038420435.1	80
GCF_038420465.1	80
GCF_038420475.1	80
GCF_038420605.1	80
GCF_038421315.1	80
GCF_038422155.1	80
GCF_038423385.1	80
GCF_038424135.1	80
GCF_038424905.1	80
GCF_038425775.1	80
GCF_040366825.1	150
GCF_040367275.1	150
GCF_040368535.1	150
GCF_040369685.1	150
GCF_040370845.1	150
GCF_040371445.1	150
GCF_040372445.1	150
GCF_040373035.1	150
GCF_040373105.1	150
GCF_040373215.1	150
GCF_040373345.1	150
GCF_040374935.1	150
GCF_040377535.1	150
GCF_040380425.1	150
GCF_040383235.1	150
GCF_040385865.1	150
GCF_040388595.1	150
GCF_040391575.1	150
GCF_040394165.1	150
GCF_040397295.1	150
GCF_040400385.1	150
GCF_040403735.1	150
GCF_040404325.1	150
GCF_040404335.1	150
GCF_040404365.1	150
GCF_040404415.1	150
GCF_040404485.1	150
GCF_040404575.1	150
GCF_040404645.1	150
GCF_044880535.1	1016
GCF_964291735.1	200
GCF_964291745.1	200
