,chromosome_metadata,strand,start_cr,stop_cr,start_term,stop_term,start_metadata,stop,n_terminus,id,in_frame,lcb_num,ref_lcb_start,ref_lcb_stop,ref_lcb_strand,query_lcb_start,query_lcb_stop,query_lcb_strand,length_ratio,start_reordered,start_reordered_flipped,strand_flipped,strain,locus,chromosome_prokka,gene,locus_tag,source,start_prokka,end
0,NZ_CP107264.1,-1,75860.0,75895.0,75131.0,75149.0,75132.0,75920.0,75846.0,10231_opa_1,0.0,0.0,1.0,1069971.0,1.0,1.0,1129865.0,1.0,0.9469900802220445,71149.0,71149.0,-1.0,10231,A,gnl|X|10231_1,piiC_2,10231_00063,prokka,75132.0,75816.0
1,NZ_CP107264.1,1,988964.0,988974.0,989706.0,989724.0,988938.0,989723.0,988988.0,10231_opa_2,0.0,0.0,1.0,1069971.0,1.0,1.0,1129865.0,1.0,0.9469900802220445,936515.0,936515.0,1.0,10231,C,gnl|X|10231_1,piiC_3,10231_01005,prokka,989018.0,989723.0
2,NZ_CP107264.1,-1,1066775.0,1066825.0,1066046.0,1066064.0,1066047.0,1066850.0,1066761.0,10231_opa_3,0.0,0.0,1.0,1069971.0,1.0,1.0,1129865.0,1.0,0.9469900802220445,1009536.0,1009536.0,-1.0,10231,D,gnl|X|10231_1,piiC_4,10231_01087,prokka,1066047.0,1066731.0
3,NZ_CP107264.1,1,1096164.0,1096174.0,1096882.0,1096900.0,1096139.0,1096899.0,1096188.0,10231_opa_4,0.0,0.0,1.0,1069971.0,1.0,1.0,1129865.0,1.0,0.9469900802220445,1038033.0,1038033.0,1.0,10231,E,gnl|X|10231_1,piiC_5,10231_01116,prokka,1096218.0,1096899.0
4,NZ_CP107264.1,1,1268887.0,1268937.0,1269648.0,1269666.0,1268862.0,1269665.0,1268951.0,10231_opa_5,0.0,2.0,1109885.0,1601140.0,1.0,1146936.0,1639068.0,1.0,0.998217957783684,1231594.0,1231594.0,1.0,10231,F,gnl|X|10231_1,piiC_6,10231_01299,prokka,1268981.0,1269665.0
5,NZ_CP107264.1,-1,1468376.0,1468421.0,1467617.0,1467635.0,1467618.0,1468445.0,1468362.0,10231_opa_6,0.0,2.0,1109885.0,1601140.0,1.0,1146936.0,1639068.0,1.0,0.998217957783684,1429996.0,1429996.0,-1.0,10231,G,gnl|X|10231_1,piiC_7,10231_01490,prokka,1467618.0,1468332.0
6,NZ_CP107264.1,1,1521505.0,1521545.0,1522250.0,1522268.0,1521480.0,1522267.0,1521559.0,10231_opa_7,0.0,2.0,1109885.0,1601140.0,1.0,1146936.0,1639068.0,1.0,0.998217957783684,1483762.0,1483762.0,1.0,10231,H,gnl|X|10231_1,piiC_8,10231_01544,prokka,1521589.0,1522267.0
7,NZ_CP107264.1,1,1570951.0,1570961.0,1571699.0,1571717.0,1570926.0,1571716.0,1570975.0,10231_opa_8,0.0,2.0,1109885.0,1601140.0,1.0,1146936.0,1639068.0,1.0,0.998217957783684,1533119.0,1533119.0,1.0,10231,I,gnl|X|10231_1,piiC_9,10231_01589,prokka,1571005.0,1571716.0
8,NZ_CP107264.1,-1,1893055.0,1893070.0,1892305.0,1892323.0,1892306.0,1893094.0,1893041.0,10231_opa_9,0.0,3.0,1602801.0,2155339.0,1.0,1663439.0,2212810.0,1.0,1.00576477462407,1832987.0,1832987.0,-1.0,10231,J,gnl|X|10231_1,piiC_10,10231_01943,prokka,1892306.0,1893011.0
9,NZ_CP107264.1,-1,2099586.0,2099622.0,2098861.0,2098879.0,2098862.0,2099646.0,2099577.0,10231_opa_10,1.0,3.0,1602801.0,2155339.0,1.0,1663439.0,2212810.0,1.0,1.00576477462407,2040734.0,2040734.0,-1.0,10231,K,gnl|X|10231_1,piiC_11,10231_02151,prokka,2098862.0,2099174.0
10,NZ_CP098474.1,-1,69805.0,69830.0,69047.0,69065.0,69048.0,69855.0,69791.0,10239_opa_1,0.0,0.0,1.0,460633.0,1.0,1.0,465227.0,1.0,0.9901252294583708,68366.0,68366.0,-1.0,10239,A,gnl|X|10239_1,piiC_1,10239_00066,prokka,69048.0,69624.0
11,NZ_CP098474.1,-1,75260.0,75325.0,74534.0,74552.0,74535.0,75350.0,75246.0,10239_opa_2,0.0,0.0,1.0,460633.0,1.0,1.0,465227.0,1.0,0.9901252294583708,73799.0,73799.0,-1.0,10239,B,gnl|X|10239_1,piiC_2,10239_00069,prokka,74535.0,75216.0
12,NZ_CP098474.1,-1,510120.0,510160.0,509388.0,509406.0,509389.0,510185.0,510106.0,10239_opa_3,0.0,1.0,461149.0,1074635.0,1.0,465232.0,1148126.0,-1.0,0.8983619712576183,500818.0,1034966.0,1.0,10239,E,gnl|X|10239_1,piiC_3,10239_00528,prokka,509389.0,510076.0
13,NZ_CP098474.1,1,546977.0,547042.0,547735.0,547753.0,546952.0,547752.0,547056.0,10239_opa_4,0.0,1.0,461149.0,1074635.0,1.0,465232.0,1148126.0,-1.0,0.8983619712576183,534563.0,1001221.0,-1.0,10239,D,gnl|X|10239_1,piiC_4,10239_00566,prokka,547086.0,547752.0
14,NZ_CP098474.1,-1,624802.0,624835.0,624061.0,624079.0,624062.0,624860.0,624788.0,10239_opa_5,1.0,1.0,461149.0,1074635.0,1.0,465232.0,1148126.0,-1.0,0.8983619712576183,603836.0,931948.0,1.0,10239,C,gnl|X|10239_1,piiC_5,10239_00649,prokka,624062.0,624860.0
15,NZ_CP098474.1,1,1282363.0,1282398.0,1283106.0,1283124.0,1282338.0,1283123.0,1282412.0,10239_opa_6,0.0,3.0,1109885.0,1602141.0,1.0,1160978.0,1651190.0,1.0,1.004169624570594,1231751.0,1231751.0,1.0,10239,F,gnl|X|10239_1,piiC_6,10239_01325,prokka,1282442.0,1283123.0
16,NZ_CP098474.1,-1,1480810.0,1480855.0,1480093.0,1480111.0,1480094.0,1480879.0,1480796.0,10239_opa_7,0.0,3.0,1109885.0,1602141.0,1.0,1160978.0,1651190.0,1.0,1.004169624570594,1430332.0,1430332.0,-1.0,10239,G,gnl|X|10239_1,piiC_7,10239_01518,prokka,1480094.0,1480766.0
17,NZ_CP098474.1,1,1534502.0,1534557.0,1535295.0,1535313.0,1534477.0,1535312.0,1534571.0,10239_opa_8,0.0,3.0,1109885.0,1602141.0,1.0,1160978.0,1651190.0,1.0,1.004169624570594,1484941.0,1484941.0,1.0,10239,H,gnl|X|10239_1,piiC_8,10239_01571,prokka,1534601.0,1535312.0
18,NZ_CP098474.1,1,1584068.0,1584123.0,1584852.0,1584870.0,1584043.0,1584869.0,1584137.0,10239_opa_9,0.0,3.0,1109885.0,1602141.0,1.0,1160978.0,1651190.0,1.0,1.004169624570594,1534714.0,1534714.0,1.0,10239,I,gnl|X|10239_1,piiC_9,10239_01617,prokka,1584167.0,1584869.0
19,NZ_CP098474.1,1,1795166.0,1795231.0,1795954.0,1795972.0,1795141.0,1795971.0,1795245.0,10239_opa_10,0.0,5.0,1717293.0,2046237.0,1.0,1790016.0,2115103.0,-1.0,1.011864516267953,1722479.0,2041051.0,-1.0,10239,K,gnl|X|10239_1,piiC_10,10239_01855,prokka,1795275.0,1795971.0
20,NZ_CP098474.1,1,2000052.0,2000117.0,2000840.0,2000858.0,2000028.0,2000857.0,2000131.0,10239_opa_11,0.0,5.0,1717293.0,2046237.0,1.0,1790016.0,2115103.0,-1.0,1.011864516267953,1929797.0,1833733.0,-1.0,10239,J,gnl|X|10239_1,piiC_11,10239_02061,prokka,2000017.0,2000857.0
21,NZ_CP098503.2,-1,75186.0,75256.0,74463.0,74481.0,74464.0,75281.0,75172.0,10268_opa_1,0.0,2.0,55353.0,458293.0,1.0,55686.0,461650.0,1.0,0.992551063641111,73991.0,73991.0,-1.0,10268,A,gnl|X|10268_1,piiC_2,10268_00063,prokka,74464.0,75142.0
22,NZ_CP098503.2,-1,497414.0,497424.0,496688.0,496706.0,496689.0,497449.0,497400.0,10268_opa_2,0.0,3.0,471574.0,1072651.0,1.0,461720.0,1122612.0,-1.0,0.909493532982696,503378.0,1040847.0,1.0,10268,E,gnl|X|10268_1,piiC_3,10268_00507,prokka,496689.0,497370.0
23,NZ_CP098503.2,1,532088.0,532108.0,532819.0,532837.0,532063.0,532836.0,532122.0,10268_opa_3,0.0,3.0,471574.0,1072651.0,1.0,461720.0,1122612.0,-1.0,0.909493532982696,535551.0,1008674.0,-1.0,10268,D,gnl|X|10268_1,piiC_4,10268_00545,prokka,532152.0,532836.0
